"","method","k_num","ptime","k_orig","e","n","LOINC"
"112","ap_kluster_frq",11,0.0464999999955762,3,8,34420,"2160-0"
"113","BIC_kluster_mean",3,0.1187000000017,3,0,645,"2339-0"
"114","cal_kluster_mean",15,1.23495000000228,3,12,645,"2339-0"
"115","pam_kluster_mean",6,0.0367499999969732,3,3,645,"2339-0"
"116","ap_kluster_mean",8,0.0413099999993574,3,5,645,"2339-0"
"117","BIC_kluster_frq",3,0.1187000000017,3,0,645,"2339-0"
"118","cal_kluster_frq",15,1.23495000000228,3,12,645,"2339-0"
"119","pam_kluster_frq",2,0.0367499999969732,3,-1,645,"2339-0"
"120","ap_kluster_frq",8,0.0413099999993574,3,5,645,"2339-0"
"121","BIC_kluster_mean",3,0.0793899999989662,3,0,2385,"2532-0"
"122","cal_kluster_mean",14,1.47966000000015,3,11,2385,"2532-0"
"123","pam_kluster_mean",2,0.0349900000030175,3,-1,2385,"2532-0"
"124","ap_kluster_mean",12,0.0481700000003912,3,9,2385,"2532-0"
"125","BIC_kluster_frq",3,0.0793899999989662,3,0,2385,"2532-0"
"126","cal_kluster_frq",15,1.47966000000015,3,12,2385,"2532-0"
"127","pam_kluster_frq",2,0.0349900000030175,3,-1,2385,"2532-0"
"128","ap_kluster_frq",12,0.0481700000003912,3,9,2385,"2532-0"
"129","BIC_kluster_mean",3,0.108210000001709,3,0,6206,"2571-8"
"130","cal_kluster_mean",15,1.31299000000174,3,12,6206,"2571-8"
"131","pam_kluster_mean",3,0.0379599999991478,3,0,6206,"2571-8"
"132","ap_kluster_mean",9,0.0403299999976298,3,6,6206,"2571-8"
"133","BIC_kluster_frq",3,0.108210000001709,3,0,6206,"2571-8"
"134","cal_kluster_frq",15,1.31299000000174,3,12,6206,"2571-8"
"135","pam_kluster_frq",2,0.0379599999991478,3,-1,6206,"2571-8"
"136","ap_kluster_frq",8,0.0403299999976298,3,5,6206,"2571-8"
"137","BIC_kluster_mean",3,0.0766299999988405,3,0,10603,"26449-9"
"138","cal_kluster_mean",15,1.12539999999688,3,12,10603,"26449-9"
"139","pam_kluster_mean",4,0.0282500000012806,3,1,10603,"26449-9"
"140","ap_kluster_mean",9,0.055050000003539,3,6,10603,"26449-9"
"141","BIC_kluster_frq",3,0.0766299999988405,3,0,10603,"26449-9"
"142","cal_kluster_frq",15,1.12539999999688,3,12,10603,"26449-9"
"143","pam_kluster_frq",2,0.0282500000012806,3,-1,10603,"26449-9"
"144","ap_kluster_frq",9,0.055050000003539,3,6,10603,"26449-9"
"145","BIC_kluster_mean",3,0.0671699999994598,3,0,11095,"26450-7"
"146","cal_kluster_mean",15,1.08784999999916,3,12,11095,"26450-7"
"147","pam_kluster_mean",9,0.0242900000006193,3,6,11095,"26450-7"
"148","ap_kluster_mean",8,0.0501399999996647,3,5,11095,"26450-7"
"149","BIC_kluster_frq",3,0.0671699999994598,3,0,11095,"26450-7"
"150","cal_kluster_frq",15,1.08784999999916,3,12,11095,"26450-7"
"151","pam_kluster_frq",10,0.0242900000006193,3,7,11095,"26450-7"
"152","ap_kluster_frq",8,0.0501399999996647,3,5,11095,"26450-7"
"153","BIC_kluster_mean",3,0.163899999997811,3,0,10915,"26474-7"
"154","cal_kluster_mean",15,1.36842000000062,3,12,10915,"26474-7"
"155","pam_kluster_mean",6,0.0384700000064913,3,3,10915,"26474-7"
"156","ap_kluster_mean",9,0.0375899999990361,3,6,10915,"26474-7"
"157","BIC_kluster_frq",3,0.163899999997811,3,0,10915,"26474-7"
"158","cal_kluster_frq",15,1.36842000000062,3,12,10915,"26474-7"
"159","pam_kluster_frq",2,0.0384700000064913,3,-1,10915,"26474-7"
"160","ap_kluster_frq",9,0.0375899999990361,3,6,10915,"26474-7"
"161","BIC_kluster_mean",3,0.137350000001607,3,0,10807,"26478-8"
"162","cal_kluster_mean",15,1.24700000000186,3,12,10807,"26478-8"
"163","pam_kluster_mean",6,0.0370600000018021,3,3,10807,"26478-8"
"164","ap_kluster_mean",8,0.0408699999953387,3,5,10807,"26478-8"
"165","BIC_kluster_frq",3,0.137350000001607,3,0,10807,"26478-8"
"166","cal_kluster_frq",15,1.24700000000186,3,12,10807,"26478-8"
"167","pam_kluster_frq",2,0.0370600000018021,3,-1,10807,"26478-8"
"168","ap_kluster_frq",8,0.0408699999953387,3,5,10807,"26478-8"
"169","BIC_kluster_mean",3,0.278350000001374,3,0,10760,"26484-6"
"170","cal_kluster_mean",15,1.26404999999679,3,12,10760,"26484-6"
"171","pam_kluster_mean",5,0.0333299999992596,3,2,10760,"26484-6"
"172","ap_kluster_mean",9,0.0453099999966798,3,6,10760,"26484-6"
"173","BIC_kluster_frq",3,0.278350000001374,3,0,10760,"26484-6"
"174","cal_kluster_frq",15,1.26404999999679,3,12,10760,"26484-6"
"175","pam_kluster_frq",2,0.0333299999992596,3,-1,10760,"26484-6"
"176","ap_kluster_frq",9,0.0453099999966798,3,6,10760,"26484-6"
"177","BIC_kluster_mean",3,0.0822700000007171,3,0,11344,"26485-3"
"178","cal_kluster_mean",15,1.14533000000054,3,12,11344,"26485-3"
"179","pam_kluster_mean",9,0.0277199999982258,3,6,11344,"26485-3"
"180","ap_kluster_mean",9,0.0408900000026915,3,6,11344,"26485-3"
"181","BIC_kluster_frq",3,0.0822700000007171,3,0,11344,"26485-3"
"182","cal_kluster_frq",15,1.14533000000054,3,12,11344,"26485-3"
"183","pam_kluster_frq",10,0.0277199999982258,3,7,11344,"26485-3"
"184","ap_kluster_frq",9,0.0408900000026915,3,6,11344,"26485-3"
"185","BIC_kluster_mean",3,0.139230000003008,3,0,11033,"26499-4"
"186","cal_kluster_mean",15,1.37752999999735,3,12,11033,"26499-4"
"187","pam_kluster_mean",4,0.0404200000019046,3,1,11033,"26499-4"
"188","ap_kluster_mean",9,0.0391399999987334,3,6,11033,"26499-4"
"189","BIC_kluster_frq",3,0.139230000003008,3,0,11033,"26499-4"
"190","cal_kluster_frq",15,1.37752999999735,3,12,11033,"26499-4"
"191","pam_kluster_frq",2,0.0404200000019046,3,-1,11033,"26499-4"
"192","ap_kluster_frq",9,0.0391399999987334,3,6,11033,"26499-4"
"193","BIC_kluster_mean",3,0.142129999999888,3,0,11340,"26511-6"
"194","cal_kluster_mean",15,1.24457000000228,3,12,11340,"26511-6"
"195","pam_kluster_mean",7,0.0382299999980023,3,4,11340,"26511-6"
"196","ap_kluster_mean",8,0.0393499999999767,3,5,11340,"26511-6"
"197","BIC_kluster_frq",3,0.142129999999888,3,0,11340,"26511-6"
"198","cal_kluster_frq",15,1.24457000000228,3,12,11340,"26511-6"
"199","pam_kluster_frq",10,0.0382299999980023,3,7,11340,"26511-6"
